round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
2,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
2,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
2,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
2,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
2,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
2,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
2,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
2,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
2,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
3,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
3,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
3,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
3,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
3,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
3,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
3,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
3,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
3,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
3,9,0.49571,0.74777,0.50035,0.33205,0.49571,0.49571,0.49571
4,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
4,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
4,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
4,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
4,4,0.50607,0.75286,0.50072,0.33731,0.50607,0.50607,0.50607
4,5,0.51143,0.75563,0.50037,0.33903,0.51143,0.51143,0.51143
4,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
4,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
4,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
4,9,0.49571,0.74777,0.50035,0.33205,0.49571,0.49571,0.49571
5,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
5,1,0.4925,0.74616,0.50035,0.3306,0.4925,0.4925,0.4925
5,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
5,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
5,4,0.50643,0.75295,0.50108,0.33811,0.50643,0.50643,0.50643
5,5,0.51179,0.75572,0.50073,0.33984,0.51179,0.51179,0.51179
5,6,0.50321,0.75152,0.50036,0.3354,0.50321,0.50321,0.50321
5,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
5,8,0.50107,0.50054,0.5,0.33444,0.50107,0.50107,0.50107
5,9,0.49571,0.74777,0.50035,0.33205,0.49571,0.49571,0.49571
6,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
6,1,0.4925,0.74616,0.50035,0.3306,0.4925,0.4925,0.4925
6,2,0.50679,0.25348,0.49965,0.33634,0.50679,0.50679,0.50679
6,3,0.50286,0.25152,0.49965,0.3346,0.50286,0.50286,0.50286
6,4,0.50643,0.75295,0.50108,0.33811,0.50643,0.50643,0.50643
6,5,0.51107,0.50554,0.50003,0.33952,0.51107,0.51107,0.51107
